id_identificador;descripcion;direccion;fechaAlta;id_barrio;id_geometria;id_municipio;id_identificador_tipo;id_usuario;id_zona;id_zona_administrativa;fecha_actualizacion;codigo_unico;habilitado;metros_cuadrados;latitud;longitud
2584881;RODRIGUEZ JOSE HORACIO;HIPOLITO BOUCHARD 4740;21/8/2025 20:18;25019;14648872;377;650;9505;25308;;;;True;;-34,51437372;-58,52915227
2584921;RINCON KEVIN;BARTOLOME MITRE 4155;21/8/2025 20:18;25019;14648912;377;650;9505;25308;;;;True;;-34,51435966;-58,53014157
2584931;DABRA SOCIEDAD ANONIMA;PANAMA 3891;21/8/2025 20:18;25019;14648922;377;650;9505;25308;;;;True;;-34,51445645;-58,52589815
2584934;CAÑOS PLAZA SRL;MANUEL DIAZ VELEZ 4651;21/8/2025 20:18;25019;14648925;377;650;9505;25308;;;;True;;-34,51447111;-58,5278786
2584946;MUNDO BEBIDAS S.R.L.;LUIS PIEDRABUENA 4505;21/8/2025 20:18;25019;14648937;377;650;9505;25308;;;;True;;-34,51438639;-58,52616064
2584948;MALDONADO TITO MARCIAL Y MALDO;MANUEL DIAZ VELEZ 4629;21/8/2025 20:18;25019;14648939;377;650;9505;25308;;;;True;;-34,51438965;-58,52769934
2584950;DAGAMARSU S.R.L.;HIPOLITO BOUCHARD 4741;21/8/2025 20:18;25019;14648941;377;650;9505;25308;;;;True;;-34,51439777;-58,52938566
2584953;FLEITAS EZEQUIEL MARTIN;BARTOLOME MITRE 4102;21/8/2025 20:18;25019;14648944;377;650;9505;25308;;;;True;;-34,51460138;-58,53017371
2584964;CAÑOS PLAZA SRL;LUIS PIEDRABUENA 4550;21/8/2025 20:18;25019;14648955;377;650;9505;25308;;;;True;;-34,51461563;-58,52648083
2584969;PROM TV S.A.;LUIS PIEDRABUENA 4573;21/8/2025 20:18;25019;14648960;377;650;9505;25308;;;;True;;-34,51464307;-58,52672053
2584972;OSSO PEDRO CLEMENTE;MANUEL DIAZ VELEZ 4715;21/8/2025 20:18;25019;14648963;377;650;9505;25308;;;;True;;-34,51479267;-58,52858619
2584975;SCHMITT, GUSTAVO GABRIEL;ESTEBAN ECHEVERRIA 3720;21/8/2025 20:18;25019;14648966;377;650;9505;25308;;;;True;;-34,51440231;-58,52168805
2584978;NAI INTERNATIONAL II INC SUC A;ESTEBAN ECHEVERRIA 3720;21/8/2025 20:18;25019;14648969;377;650;9505;25308;;;;True;;-34,51440231;-58,52168805
2584988;GOY, GRACIELA LILIAN;ESTEBAN ECHEVERRIA 3714;21/8/2025 20:18;25019;14648979;377;650;9505;25308;;;;True;;-34,51440897;-58,52159262
2584992;SHOWCENTER S.A.;ESTEBAN ECHEVERRIA 3714;21/8/2025 20:18;25019;14648983;377;650;9505;25308;;;;True;;-34,51440897;-58,52159262
2585014;BIOSEIF SRL;BARTOLOME MITRE 4117;21/8/2025 20:18;25019;14649005;377;650;9505;25308;;;;True;;-34,51453496;-58,52999005
2585018;TEXMOLD S.R.L.;PANAMA 3848;21/8/2025 20:18;25019;14649009;377;650;9505;25308;;;;True;;-34,51472322;-58,52582335
2585028;MASOTTA TOMAS EUGENIO;PANAMA 3880;21/8/2025 20:18;25019;14649019;377;650;9505;25308;;;;True;;-34,51455426;-58,52593343
2585031;TRANSPORTE MASOTTA S.R.L.;PANAMA 3880;21/8/2025 20:18;25019;14649022;377;650;9505;25308;;;;True;;-34,51455426;-58,52593343
2585037;NUTRIAL S.A.;MANUEL DIAZ VELEZ 4681;21/8/2025 20:18;25019;14649028;377;650;9505;25308;;;;True;;-34,5145822;-58,52812304
2585038;FUX ALDO JOSE GUILLERMO;BARTOLOME MITRE 4091;21/8/2025 20:18;25019;14649029;377;650;9505;25308;;;;True;;-34,51473603;-58,52981625
2585040;UCATO, JUAN CARLOS;CARREGAL 4018;21/8/2025 20:18;25019;14649031;377;650;9505;25308;;;;True;;-34,51458737;-58,52847361
2585041;GONZALEZ PARADA, JOSE ANTONIO;HIPOLITO BOUCHARD 4804;21/8/2025 20:18;25019;14649032;377;650;9505;25308;;;;True;;-34,51474278;-58,530184
2585043;SCHMIDT, CARLOS SAMUEL;CARREGAL 4018;21/8/2025 20:18;25019;14649034;377;650;9505;25308;;;;True;;-34,51458737;-58,52847361
2585049;AMBIENTAL PEHUEN S.A.;PANAMA 3840;21/8/2025 20:18;25019;14649040;377;650;9505;25308;;;;True;;-34,51476546;-58,52579583
