id_identificador_tipo;descripcion;id_icono;requiere_ciudadano
864;Segundo Piso Casa Central;;False
865;Tercer Piso Casa Central;;False
866;Cuarto Piso Casa Central;;False
868;Quinto Piso Casa Central;;False
869;Planta Baja Casa Central;;False
870;Playa de Estacionamiento Casa Central;;False
876;Comercio-ts;;False
877;Nómina Municipal (Trelew);;False
878;Libre de deuda;;False
879;Permiso de poda y extracción de arbolado público;;False
882;Presentación de Comprobantes - Con contratación;;False
883;Eventos Bailables;;False
884;vehiculo;;False
886;Modificación de Proyecto de Obra;;False
887;Avance de obra digital;;False
888;Final de Obra;;False
889;Permiso de Edificación;;False
891;Baja de HAPROT JUJUY;;False
892;Habilitación HAPROT (Secretaría Provincial de Transporte);;False
893;Autorización para Evento Social Cultural;;False
894;Declaración de Propaganda;;False
896;Imprenta Roque Sáenz Peña;;False
897;Buzón de peticiones ciudadanas;;False
899;Colegios;;False
900;Transportes;;False
907;Mesa de entrada;;False
908;Primer piso Imprenta Roque Sáenz Peña;;False
909;Segundo piso Imprenta Roque Sáenz Peña;;False
910;LD inmueble y obras;;False
912;Artesano;;False
913;Factibilidad Quebrada de Humahuaca;;False
914;Débito automático;;False
129;Mascotas;;True
79;Calles de Arena;;False
80;Calles de Asfalto;;False
81;Calles de Reticulado;;False
82;Calles de Hormigón;;False
120;Ordenadores;;False
121;Monitores;;False
169;Rampa Accesible;;False
170;Empresa;;False
222;Canastas;;False
223;Porterías;;False
224;Banquillos;;False
225;Paradas de Taxis;;False
226;Clubes Deportivos y Sociales;;False
227;Estaciones de Servicios;;False
228;Bancos y Cajeros automáticos;;False
230;Organismos/Delegaciones Nacionales;;False
231;Organismos Provinciales;;False
232;Profesionales - Permiso de Obra;;False
233;Universidades/Facultades;;False
234;Punto Limpio;;False
235;Portátiles;;False
237;Pista Saludable/gimnasio Cielo Abierto;;False
238;Empresa De Servicios Públicos;;False
239;Dársenas De Carga Y Descarga;;False
240;Dársenas Para Personas Con Discapacidad;;False
241;Darsenas De Estacionamiento Para Motos;;False
242;Compostera Municipal;;False
243;Recolección Diferenciada (Empresarias e Instituciones);;False
244;Centros Informacion Turística;;False
245;Atractivos Turisticos;;False
246;Manantiales y aguas termales;;False
248;Juntas Vecinales;;False
249;Comedor;;False
251;Permisionario;;False
252;Personal;;False
253;Museos;;False
254;Bibliotecas;;False
259;Turnero;;False
260;Reloj;;False
262;Edificios;;False
264;Punto de Agua Potable;;False
266;Vehículo;;False
267;Motosierra;;False
268;Motoguadaña;;False
269;Asistente a Eventos;;False
271;Parque;;False
273;Firma Digital Token;;False
274;Reloj Biométrico;;False
277;Estacionamiento Reservado (Entidades);;False
326;Aula de la naturaleza;;False
327;Camping;;False
328;Casa Rural;;False
329;Centro de visitantes;;False
331;Hotel de Montaña;;False
332;Mirador;;False
333;Punto de información;;False
334;Refugio;;False
335;Kiosco Restaurante_Area Recreativa;;False
340;Tomógrafo;;False
345;Instalación;;False
1;Poste;81;False
9;Dependencia Municipal;69;False
11;Semaforos;80;False
14;Parada de Colectivo;79;False
23;Estaciones Deportivas;71;False
25;Tapa de Cloacas;83;False
27;Contenedor de Basura;66;False
30;Centro de Atención Social;70;False
35;Desfibriladores;82;False
37;Antenas;78;False
45;Contenedor de Restos (residuos sin clasificar);68;False
46;Contenedor de Envases;65;False
49;Contenedor de Papel;67;False
50;Contenedor de Vidrio;64;False
53;Espacio recreativo;74;False
54;Espacio cultural;73;False
55;Espacio educativo;72;False
63;Centro Barrial;76;False
88;Ambulancia;75;False
826;Cámaras de seguridad Policía;84;False
827;Cámaras de seguridad Gobierno de Córdoba;85;False
